,sex_of_driver,age_of_driver,vehicle_type,generic_make_model,engine_capacity_cc,age_of_vehicle
493377,2,37,3,-1,124,5
493403,3,-1,2,-1,-1,-1
493415,1,40,2,-1,125,10
493417,1,33,4,-1,125,5
493426,1,23,3,-1,125,4
493427,1,32,3,-1,-1,-1
493431,1,25,2,-1,49,7
493436,1,28,3,-1,125,10
493443,1,20,3,-1,124,2
493445,1,49,3,-1,108,1
493451,1,25,4,-1,250,4
493452,2,36,2,-1,49,11
493454,1,44,3,-1,125,1
493455,1,44,3,-1,108,9
493458,1,18,3,-1,108,4
493501,3,-1,3,-1,-1,-1
493508,1,27,2,-1,125,12
493518,1,33,5,-1,645,15
493530,1,36,3,-1,125,2
493542,1,43,3,-1,124,22
493548,1,34,3,-1,124,8
493559,1,23,3,-1,102,1
493562,1,25,3,-1,125,8
493589,1,17,2,-1,125,1
493598,1,26,3,-1,125,8
493612,1,48,5,-1,1340,3
493620,1,17,3,-1,299,4
493633,1,20,3,-1,125,2
493647,1,22,3,-1,108,5
493649,1,19,3,-1,125,1
493660,1,49,4,-1,198,5
493698,2,36,5,-1,599,17
493743,1,44,3,-1,124,1
493751,1,28,4,-1,124,9
493760,1,41,3,-1,108,6
493772,1,22,3,-1,125,1
493779,1,16,5,-1,-1,-1
493786,1,40,4,-1,125,2
493789,1,54,4,-1,125,6
493795,1,22,4,-1,124,14
493803,3,-1,3,-1,-1,-1
493806,1,27,5,-1,748,10
493813,1,32,5,-1,600,21
493824,1,44,5,-1,998,3
493837,1,46,5,-1,898,3
493843,1,19,3,-1,125,5
493856,1,33,5,-1,1170,10
493863,1,56,3,-1,124,5
493886,1,42,3,-1,108,9
493889,2,45,3,-1,-1,-1
493890,1,-1,2,-1,-1,-1
493891,1,29,3,-1,125,1
493913,1,29,3,-1,125,3
493925,1,35,3,-1,125,1
493931,1,20,3,-1,124,10
493935,1,29,3,-1,125,6
493937,1,49,5,-1,953,9
493947,1,21,3,-1,125,7
493969,1,34,5,-1,600,15
494002,1,21,3,-1,125,1
494004,1,19,3,-1,125,0
494048,1,28,4,-1,279,2
494056,1,26,3,-1,125,7
494059,1,40,4,-1,-1,-1
494065,1,32,4,-1,-1,-1
494087,1,51,3,-1,125,6
494090,1,26,4,-1,124,11
494096,1,27,2,-1,125,6
494101,1,23,5,-1,656,9
494105,1,40,4,-1,125,1
494108,3,-1,3,-1,-1,-1
494114,1,28,3,-1,108,4
494118,1,44,5,-1,1262,1
494127,1,41,2,-1,49,10
494130,1,37,5,-1,-1,-1
494134,2,31,3,-1,124,5
494143,1,24,3,-1,125,1
494153,1,31,3,-1,124,1
494157,1,30,3,-1,-1,-1
494161,1,30,4,-1,487,12
494164,1,35,5,-1,1170,3
494166,1,39,5,-1,899,20
494167,1,22,4,-1,125,5
494186,1,33,3,-1,108,6
494189,1,25,3,-1,125,2
494202,1,60,5,-1,955,14
494210,1,32,3,-1,125,5
494215,1,29,4,-1,125,4
494217,1,32,5,-1,847,1
494221,1,25,3,-1,124,14
494223,1,64,2,-1,49,18
494234,1,29,4,-1,-1,-1
494246,1,30,3,-1,124,15
494252,2,31,3,-1,124,3
494283,1,21,3,-1,125,8
494292,1,42,3,-1,108,2
494294,2,29,3,-1,278,4
494296,3,-1,4,-1,124,12
494301,1,34,5,-1,599,1
494313,1,22,3,-1,49,9
494320,1,30,3,-1,108,2
494323,1,27,3,-1,124,8
494325,1,32,3,-1,125,4
494332,1,26,3,-1,108,3
494342,1,15,4,-1,108,2
494349,1,45,3,-1,125,2
494352,1,21,2,-1,49,7
494357,1,17,3,-1,125,3
494367,1,41,5,-1,1340,9
494373,1,28,4,-1,373,1
494376,1,21,3,-1,124,11
494383,1,37,3,-1,125,1
494386,1,42,5,-1,535,19
494387,3,-1,2,-1,-1,-1
494397,1,20,3,-1,124,7
494405,1,37,5,-1,745,6
494410,1,45,3,-1,124,6
494415,1,45,3,-1,124,1
494416,1,30,3,-1,124,2
494420,1,25,2,-1,125,3
494422,1,27,3,-1,125,2
494424,1,-1,3,-1,-1,-1
494431,3,-1,3,-1,-1,-1
494437,1,19,2,-1,125,1
494443,1,23,4,-1,124,10
494449,1,26,3,-1,125,1
494461,1,26,3,-1,124,11
494473,1,39,3,-1,124,6
494477,1,40,5,-1,599,18
494487,1,-1,3,-1,125,3
494489,1,16,3,-1,125,3
494494,1,40,4,-1,250,6
494499,1,31,3,-1,125,7
494502,1,41,4,-1,125,2
494519,1,18,3,-1,124,4
494532,1,45,3,-1,125,3
494547,1,31,3,-1,125,2
494553,1,26,2,-1,124,11
494555,1,43,5,-1,745,0
494560,1,27,4,-1,125,8
494574,1,26,3,-1,108,0
494590,1,33,5,-1,599,6
494595,1,18,2,-1,113,2
494643,1,38,3,-1,108,3
494651,1,23,3,-1,125,6
494661,2,32,5,-1,645,11
494670,1,40,2,-1,113,3
494680,1,50,4,-1,1157,17
494682,1,59,3,-1,49,3
494697,1,26,2,-1,108,5
494731,3,-1,3,-1,-1,-1
494735,1,20,3,-1,645,13
494738,1,34,3,-1,124,1
494741,1,31,2,-1,124,8
494747,1,24,3,-1,125,2
494755,1,48,5,-1,1299,11
494760,1,45,3,-1,-1,-1
494777,1,38,3,-1,125,55
494803,1,40,2,-1,108,2
494820,2,17,3,-1,125,5
494823,1,34,3,-1,124,4
494828,1,30,3,-1,125,3
494837,1,16,3,-1,330,6
494846,1,43,5,-1,645,1
494851,1,54,4,-1,125,1
494863,2,28,3,-1,124,4
494866,1,28,3,-1,125,6
494868,1,45,3,-1,125,2
494871,1,32,4,-1,125,3
494874,1,18,4,-1,-1,-1
494882,1,28,4,-1,600,6
494889,1,42,4,-1,599,9
494900,1,52,3,-1,125,7
494903,1,26,3,-1,-1,-1
494905,1,33,2,-1,125,2
494911,1,24,2,-1,49,7
494918,1,41,4,-1,124,6
494923,1,28,5,-1,-1,-1
494934,1,18,2,-1,49,10
494944,1,34,5,-1,1157,11
494955,1,-1,3,-1,125,2
494968,2,55,5,-1,798,1
494972,1,22,3,-1,108,4
494980,1,-1,3,-1,125,3
494992,1,25,4,-1,124,9
494995,1,28,3,-1,125,1
495019,1,37,5,-1,296,3
495021,1,35,5,-1,999,4
495028,3,-1,2,-1,-1,-1
495030,1,55,2,-1,244,13
495068,1,36,3,-1,124,12
495076,1,41,3,-1,124,2
495080,1,42,3,-1,125,1
495083,1,36,5,-1,599,18
495085,1,29,4,-1,125,2
495094,1,57,5,-1,750,35
495097,1,27,3,-1,125,4
495102,1,31,5,-1,803,5
495106,1,36,3,-1,125,2
495107,1,27,3,-1,125,2
495108,1,26,4,-1,847,4
495133,1,21,3,-1,125,1
495144,1,41,4,-1,-1,-1
495172,2,34,2,-1,125,1
495177,1,23,4,-1,125,1
495180,1,21,3,-1,125,8
495183,1,34,3,-1,125,5
495198,1,47,3,-1,108,1
495199,1,20,3,-1,124,2
495201,1,50,5,-1,647,2
495205,1,21,3,-1,108,4
495210,1,37,3,-1,125,6
495215,1,18,3,-1,-1,-1
495240,1,23,5,-1,599,20
495250,1,16,3,-1,125,3
495264,1,50,3,-1,125,1
495271,1,32,3,-1,125,3
495294,1,40,3,-1,124,3
495298,1,22,3,-1,124,1
495307,1,19,2,-1,49,10
495312,1,22,4,-1,125,7
495316,1,30,3,-1,125,4
495320,1,23,2,-1,49,6
495324,1,17,3,-1,108,3
495340,1,21,2,-1,-1,-1
495349,1,20,3,-1,125,1
495363,1,27,3,-1,125,6
495370,1,29,5,-1,670,6
495377,1,36,4,-1,125,7
495384,1,56,3,-1,998,3
495386,1,28,3,-1,599,4
495424,1,34,3,-1,125,16
495436,1,39,5,-1,599,10
495451,1,56,4,-1,125,1
495488,1,52,5,-1,998,1
495495,1,22,3,-1,124,2
495500,1,41,3,-1,599,9
495510,1,28,3,-1,124,2
495514,1,32,3,-1,125,3
495524,1,30,3,-1,125,1
495526,1,28,5,-1,599,15
495538,1,41,3,-1,108,7
495542,1,42,3,-1,125,6
495548,1,72,4,-1,124,12
495568,2,40,5,-1,-1,-1
495572,1,-1,2,-1,-1,-1
495589,1,42,5,-1,998,10
495590,1,30,3,-1,108,3
495605,1,36,3,-1,125,2
495616,1,21,2,-1,49,6
495619,1,30,5,-1,865,6
495654,1,23,5,-1,471,2
495656,1,39,3,-1,599,15
495669,1,21,3,-1,125,7
495673,1,21,3,-1,-1,-1
495674,1,32,3,-1,125,10
495686,1,23,3,-1,125,12
495688,1,28,3,-1,-1,-1
495694,1,49,2,-1,49,17
495695,1,43,4,-1,-1,-1
495700,1,40,4,-1,1050,1
495724,1,30,4,-1,125,7
495725,2,27,2,-1,109,4
495735,1,28,3,-1,-1,-1
495743,1,36,3,-1,124,10
495753,1,24,3,-1,125,5
495758,1,48,5,-1,1700,13
495762,1,34,3,-1,125,4
495766,1,51,5,-1,1215,5
495768,1,-1,3,-1,108,3
495773,1,33,3,-1,-1,-1
495787,1,35,3,-1,125,5
495789,1,56,3,-1,108,0
495796,1,57,3,-1,125,1
495804,1,23,3,-1,125,7
495805,1,31,3,-1,125,3
495806,1,29,4,-1,125,0
495809,1,29,3,-1,124,2
495824,1,38,5,-1,999,1
495831,1,35,3,-1,125,2
495860,2,28,3,-1,125,6
495864,2,35,3,-1,124,13
495866,1,36,3,-1,125,1
495867,1,-1,3,-1,108,2
495871,2,24,3,-1,125,2
495881,1,24,3,-1,125,5
495883,1,51,4,-1,244,8
495902,1,33,3,-1,125,9
495916,1,39,3,-1,125,3
495921,1,26,3,-1,109,2
495922,1,18,3,-1,125,2
495926,1,23,3,-1,108,2
495948,1,32,5,-1,599,12
495953,2,39,3,-1,108,3
495974,1,27,3,-1,125,2
495981,1,30,3,-1,125,6
495990,1,21,3,-1,124,1
495995,1,40,3,-1,108,2
496001,1,28,4,-1,125,6
496003,1,36,4,-1,125,5
496009,1,37,3,-1,108,4
496024,2,23,3,-1,125,4
496025,1,41,2,-1,49,11
496034,1,25,4,-1,125,1
496069,1,52,3,-1,124,1
496081,1,23,3,-1,-1,-1
496095,1,18,2,-1,125,1
496103,1,29,3,-1,125,2
496123,3,19,3,-1,124,10
496129,2,26,3,-1,125,0
496135,3,-1,3,-1,-1,-1
496138,1,35,2,-1,125,7
496142,3,-1,2,-1,-1,-1
496147,1,65,4,-1,125,3
496149,1,47,3,-1,278,1
496153,1,29,3,-1,125,4
496154,1,51,5,-1,800,7
496177,1,25,3,-1,125,7
496178,1,54,2,-1,49,9
496179,1,52,5,-1,1202,4
496187,1,32,3,-1,124,4
496189,1,37,5,-1,1199,17
496198,1,-1,3,-1,124,11
496204,1,16,3,-1,108,8
496208,2,19,3,-1,125,1
496212,1,33,3,-1,125,1
496227,1,22,3,-1,124,1
496231,1,58,3,-1,690,1
496241,1,46,2,-1,125,1
496250,1,20,4,-1,125,7
496251,1,23,3,-1,124,1
496252,3,-1,3,-1,-1,-1
496255,1,37,3,-1,124,6
496256,2,31,3,-1,125,1
496264,1,20,2,-1,108,2
496268,1,38,3,-1,124,10
496269,1,24,4,-1,125,2
496277,1,22,3,-1,125,1
496279,1,20,3,-1,-1,-1
496280,1,43,5,-1,745,1
496285,1,34,3,-1,124,3
496300,1,28,3,-1,125,3
496304,1,37,3,-1,125,2
496306,1,58,5,-1,1170,0
496315,1,28,4,-1,125,2
496318,1,47,4,-1,125,3
496324,1,24,3,-1,125,7
496332,3,-1,3,-1,-1,-1
496354,1,26,3,-1,108,4
496355,1,42,3,-1,125,8
496358,1,18,3,-1,125,3
496363,1,36,3,-1,125,4
496365,1,34,3,-1,-1,-1
496375,1,30,4,-1,125,12
496378,1,50,4,-1,-1,-1
496397,1,25,3,-1,108,0
496399,1,32,5,-1,865,3
496415,1,37,4,-1,249,9
496421,1,29,3,-1,125,2
496425,1,19,2,-1,49,12
496426,1,29,3,-1,125,1
496428,1,66,5,-1,125,4
496446,1,52,4,-1,459,12
496450,1,25,4,-1,108,3
496456,1,50,4,-1,-1,-1
496458,1,31,5,-1,798,9
496476,2,-1,3,-1,125,5
496477,1,32,3,-1,125,2
496485,1,39,3,-1,124,3
496488,1,42,3,-1,124,8
496495,1,29,5,-1,1157,17
496511,1,45,2,-1,124,7
496515,1,50,2,-1,49,3
496568,1,-1,3,-1,-1,-1
496576,1,49,2,-1,125,2
496604,2,26,2,-1,49,6
496616,1,38,4,-1,249,4
496624,1,18,2,-1,124,10
496628,1,55,5,-1,998,8
496634,1,31,5,-1,847,1
496638,1,44,3,-1,125,1
496641,1,39,5,-1,745,2
496643,1,19,3,-1,124,13
496655,1,25,3,-1,125,3
496661,1,55,5,-1,849,7
496668,1,27,4,-1,471,3
496674,1,20,4,-1,124,4
496676,1,53,5,-1,599,13
496680,1,25,3,-1,125,3
496682,1,29,3,-1,124,4
496691,1,41,4,-1,125,3
496697,1,28,3,-1,244,10
496698,1,29,3,-1,-1,-1
496708,1,30,4,-1,599,13
496710,1,31,3,-1,125,15
496719,3,-1,3,-1,-1,-1
496725,1,32,4,-1,125,3
496726,1,36,2,-1,49,2
496733,1,18,3,-1,125,10
496745,1,46,5,-1,1198,3
496747,3,-1,3,-1,-1,-1
496751,1,20,3,-1,125,9
496758,1,25,3,-1,125,1
496771,1,21,3,-1,108,0
496774,1,31,5,-1,750,12
496790,1,21,4,-1,125,1
496800,1,42,3,-1,124,9
496808,1,-1,5,-1,1130,18
496830,1,43,3,-1,125,10
496836,2,32,3,-1,125,2
496840,1,48,5,-1,1050,7
496854,1,-1,2,-1,999,1
496871,1,50,4,-1,-1,-1
496874,1,20,3,-1,108,1
496875,1,20,3,-1,125,1
496883,2,31,3,-1,125,5
496887,1,29,3,-1,108,2
496894,1,30,3,-1,124,2
496897,1,22,3,-1,124,0
496908,1,22,3,-1,125,3
496917,1,30,5,-1,1043,5
496958,1,27,2,-1,125,5
496963,1,14,2,-1,125,2
496968,1,18,3,-1,108,1
497001,1,30,3,-1,124,2
497011,1,36,3,-1,124,6
497020,1,61,5,-1,599,15
497039,1,47,5,-1,649,1
497044,1,30,5,-1,806,2
497048,1,36,5,-1,1312,6
497056,1,31,5,-1,599,17
497058,1,23,3,-1,125,4
497064,1,32,5,-1,988,13
497068,1,25,3,-1,125,2
497075,1,21,5,-1,-1,-1
497078,2,42,3,-1,-1,-1
497101,1,38,3,-1,125,12
497105,1,37,2,-1,125,2
497107,1,30,3,-1,102,11
497111,1,32,4,-1,-1,-1
497117,1,-1,3,-1,-1,-1
497130,1,26,3,-1,125,8
497142,1,21,2,-1,124,14
497161,1,18,3,-1,108,2
497165,1,34,3,-1,125,2
497167,1,32,3,-1,125,4
497179,1,59,3,-1,330,4
497180,1,20,3,-1,125,8
497182,1,57,4,-1,125,1
497184,1,27,3,-1,124,3
497195,1,35,3,-1,125,4
497200,1,34,5,-1,749,7
497210,1,21,3,-1,125,5
497213,1,28,3,-1,124,8
497215,1,36,4,-1,1340,9
497226,2,32,4,-1,125,2
497241,1,48,5,-1,1050,10
497248,1,46,4,-1,-1,-1
497249,1,51,5,-1,745,3
497296,1,18,3,-1,124,3
497310,1,48,5,-1,471,1
497315,1,34,5,-1,918,22
497322,1,46,3,-1,108,2
497332,1,26,5,-1,599,8
497335,1,55,5,-1,798,4
497336,1,-1,4,-1,279,1
497339,1,58,5,-1,1170,7
497341,1,32,3,-1,600,13
497354,1,54,5,-1,645,3
497363,1,53,5,-1,745,4
497385,1,62,5,-1,865,4
497403,1,48,5,-1,599,16
497409,1,44,3,-1,-1,-1
497412,1,30,3,-1,125,2
497413,1,50,4,-1,125,1
497422,2,29,3,-1,125,1
497434,1,45,3,-1,-1,-1
497441,1,31,5,-1,599,15
497453,1,22,3,-1,125,7
497462,1,46,3,-1,125,1
497469,1,21,3,-1,125,1
497471,1,47,3,-1,125,13
497498,1,38,3,-1,125,2
497517,2,49,3,-1,125,13
497519,1,29,3,-1,125,3
497520,2,30,3,-1,-1,-1
497533,1,47,3,-1,125,6
497534,1,44,3,-1,125,2
497535,1,52,3,-1,-1,-1
497536,2,24,3,-1,102,3
497537,1,29,3,-1,108,5
497562,2,32,3,-1,124,2
497568,1,33,4,-1,249,7
497575,1,18,3,-1,124,4
497578,1,25,5,-1,645,2
497584,1,35,5,-1,745,4
497588,1,65,5,-1,660,12
497595,1,21,2,-1,125,1
497598,1,20,3,-1,125,2
497604,1,19,3,-1,-1,-1
497606,1,36,5,-1,998,14
497607,1,34,3,-1,-1,-1
497633,1,18,2,-1,108,6
497640,1,16,2,-1,49,1
497648,1,36,3,-1,124,10
497653,1,37,3,-1,123,2
497655,1,48,3,-1,-1,-1
497666,1,-1,3,-1,-1,-1
497679,1,20,4,-1,125,6
497681,1,30,2,-1,115,3
497701,1,23,3,-1,125,3
497705,1,17,4,-1,125,1
497710,1,36,4,-1,125,1
497720,1,26,4,-1,499,16
497722,1,26,3,-1,125,6
497730,3,-1,3,-1,-1,-1
497731,1,26,3,-1,125,2
497748,1,23,3,-1,108,2
497767,1,29,4,-1,1000,3
497771,1,17,3,-1,125,15
497789,1,-1,4,-1,124,10
497798,2,32,3,-1,125,2
497799,1,31,3,-1,124,6
497821,1,39,3,-1,125,7
497826,1,22,3,-1,125,6
497840,1,26,3,-1,-1,-1
497842,1,-1,5,-1,499,13
497865,1,-1,2,-1,125,4
497870,1,52,5,-1,1170,1
497885,1,35,3,-1,125,1
497901,1,29,3,-1,108,1
497908,1,36,3,-1,124,8
497937,1,37,3,-1,125,4
497945,1,29,3,-1,125,1
497957,1,18,3,-1,124,8
497958,1,43,4,-1,897,14
497965,1,26,3,-1,108,2
497974,1,24,3,-1,108,6
497977,1,50,3,-1,-1,-1
497979,1,28,3,-1,124,6
497988,1,33,3,-1,-1,-1
498005,1,31,3,-1,125,3
498014,1,32,5,-1,1284,14
498016,1,27,2,-1,125,1
498066,1,22,2,-1,49,8
498081,1,24,3,-1,125,0
498094,1,30,3,-1,124,7
498125,1,20,3,-1,108,4
498146,1,19,3,-1,124,15
498200,1,28,4,-1,124,12
498261,1,35,4,-1,125,6
498279,1,30,3,-1,125,4
498301,1,23,3,-1,108,3
498306,1,48,2,-1,124,1
498307,1,21,3,-1,125,2
498312,1,33,3,-1,108,2
498319,1,32,3,-1,125,2
498327,1,60,3,-1,125,3
498337,1,23,3,-1,125,1
498347,1,48,3,-1,124,1
498354,3,-1,4,-1,-1,-1
498358,1,28,4,-1,-1,-1
498372,1,30,3,-1,125,1
498378,1,22,2,-1,49,17
498383,1,40,5,-1,498,21
498400,1,21,3,-1,125,2
498402,1,28,3,-1,108,3
498406,1,28,3,-1,125,1
498435,1,45,5,-1,883,3
498438,1,24,4,-1,125,1
498450,1,46,3,-1,124,11
498451,1,37,3,-1,125,2
498461,1,21,3,-1,125,7
498463,2,34,3,-1,-1,-1
498480,1,55,5,-1,680,12
498481,1,52,5,-1,1043,1
498487,1,39,2,-1,108,1
498490,1,38,3,-1,124,2
498493,1,29,3,-1,125,3
498494,3,-1,3,-1,108,2
498505,1,32,3,-1,124,15
498508,1,28,3,-1,124,9
498516,1,27,3,-1,108,2
498534,1,31,5,-1,124,10
498541,1,35,3,-1,124,7
498548,1,49,3,-1,-1,-1
498557,1,28,5,-1,649,10
498560,2,49,2,-1,49,14
498563,1,26,5,-1,998,8
498573,1,44,5,-1,1137,14
498581,1,22,3,-1,125,5
498592,1,50,4,-1,278,6
498611,1,42,5,-1,689,4
498613,1,59,5,-1,647,14
498624,1,49,3,-1,124,7
498625,1,51,5,-1,998,14
498631,1,30,3,-1,125,3
498641,1,44,4,-1,124,1
498669,1,28,2,-1,50,1
498672,1,29,3,-1,125,10
498693,1,20,3,-1,125,7
498699,1,26,4,-1,125,2
498703,1,36,3,-1,125,6
498705,1,21,2,-1,125,1
498734,1,53,4,-1,-1,-1
498743,1,49,4,-1,790,13
498744,1,47,4,-1,125,3
498746,1,57,4,-1,249,4
498760,1,46,3,-1,124,6
498766,1,16,3,-1,49,4
498767,1,26,3,-1,124,9
498769,1,36,3,-1,124,8
498788,3,-1,4,-1,-1,-1
498814,3,28,5,-1,1261,14
498822,1,26,5,-1,1043,1
498825,1,67,5,-1,647,13
498827,1,33,3,-1,124,8
498831,1,28,4,-1,125,7
498845,1,25,5,-1,805,10
498853,1,18,3,-1,-1,-1
498860,1,41,5,-1,689,1
498870,1,24,2,-1,937,2
498880,1,34,3,-1,108,6
498908,1,22,3,-1,-1,-1
498919,1,19,2,-1,124,5
498920,1,31,3,-1,125,3
498934,1,41,3,-1,125,4
498935,1,24,3,-1,124,5
498937,1,30,5,-1,-1,-1
498944,1,40,4,-1,125,11
498950,1,23,3,-1,125,8
498961,1,29,3,-1,108,1
498966,2,23,2,-1,108,5
498970,1,41,3,-1,124,10
498974,1,18,4,-1,125,8
499001,2,25,3,-1,124,1
499016,1,28,3,-1,124,9
499048,1,18,4,-1,125,6
499051,1,28,5,-1,1000,1
499056,1,29,4,-1,798,1
499062,3,-1,4,-1,-1,-1
499064,1,45,5,-1,1690,3
499065,2,30,3,-1,124,5
499068,1,27,3,-1,108,3
499075,2,44,3,-1,124,19
499076,1,20,3,-1,124,5
499088,1,33,3,-1,108,4
499114,1,40,5,-1,1352,12
499129,1,37,5,-1,645,1
499137,1,23,3,-1,125,2
499149,1,43,3,-1,-1,-1
499153,1,40,3,-1,-1,-1
499167,1,23,2,-1,124,1
499176,1,22,2,-1,125,3
499183,1,48,3,-1,150,4
499189,1,29,4,-1,124,7
499194,1,52,3,-1,125,3
499211,1,39,3,-1,124,3
499213,1,52,5,-1,645,3
499218,1,37,4,-1,471,1
499234,1,31,3,-1,124,6
499258,1,20,3,-1,125,1
499266,1,43,5,-1,998,2
499276,1,36,3,-1,124,4
499279,2,21,4,-1,296,3
499280,1,28,3,-1,125,1
499294,1,34,5,-1,-1,-1
499296,1,30,4,-1,124,1
499307,1,37,5,-1,696,3
499313,1,22,5,-1,649,2
499320,1,44,3,-1,124,17
499342,1,38,5,-1,675,3
499346,1,58,2,-1,124,7
499351,1,32,3,-1,125,5
499365,1,16,2,-1,49,13
499377,1,25,3,-1,125,3
499382,1,36,3,-1,125,1
499388,1,19,4,-1,-1,-1
499390,1,23,3,-1,108,7
499410,1,21,3,-1,124,11
499411,1,17,2,-1,124,5
499416,1,48,5,-1,1157,20
499417,3,-1,3,-1,-1,-1
499443,1,22,4,-1,125,9
499446,1,19,3,-1,125,7
499452,1,28,3,-1,125,4
499465,1,32,5,-1,599,6
499483,1,38,3,-1,125,1
499490,1,26,2,-1,49,0
499498,1,27,3,-1,108,3
499504,1,34,3,-1,125,4
499505,1,60,5,-1,1084,21
499508,3,-1,3,-1,-1,-1
499511,3,-1,2,-1,125,1
499512,1,52,4,-1,675,8
499518,1,43,5,-1,654,11
499527,1,37,5,-1,998,14
499535,1,22,3,-1,125,2
499544,1,28,4,-1,125,7
499564,1,17,4,-1,125,1
499578,1,33,4,-1,125,5
499599,1,41,5,-1,800,2
499602,1,35,3,-1,125,6
499605,1,30,3,-1,108,7
499607,1,42,5,-1,1215,1
499614,1,18,3,-1,124,5
499616,1,29,5,-1,745,4
499619,1,18,2,-1,49,6
499622,1,23,2,-1,125,1
499627,1,25,3,-1,124,14
499636,1,44,2,-1,125,2
499637,1,36,3,-1,124,10
499644,1,18,3,-1,125,1
499658,1,-1,3,-1,-1,-1
499671,1,29,2,-1,125,5
499689,1,35,3,-1,124,5
499692,1,45,3,-1,125,13
499693,1,37,5,-1,599,13
499695,1,18,5,-1,-1,-1
499702,1,23,3,-1,125,3
499704,1,31,3,-1,124,2
499706,3,-1,3,-1,124,1
499715,1,19,2,-1,108,4
499718,1,26,4,-1,124,4
499721,1,39,2,-1,-1,-1
499732,1,18,4,-1,108,9
499736,1,44,3,-1,125,7
499741,1,59,5,-1,999,6
499745,1,23,4,-1,-1,-1
499758,1,41,5,-1,779,6
499760,1,60,5,-1,1137,14
499762,1,33,3,-1,125,3
499769,2,33,3,-1,125,1
499786,1,39,5,-1,599,17
499796,1,34,3,-1,125,3
499801,1,21,3,-1,124,2
499803,1,52,4,-1,-1,-1
499809,1,24,3,-1,124,8
499810,1,37,5,-1,1170,8
499814,1,52,4,-1,124,3
499817,1,27,5,-1,954,16
499823,1,20,4,-1,-1,-1
499859,1,26,3,-1,108,5
499870,1,27,4,-1,373,1
499890,3,31,3,-1,-1,-1
499900,1,47,5,-1,599,9
499918,1,25,4,-1,124,15
499929,1,41,3,-1,120,17
499956,2,-1,3,-1,125,4
499961,1,49,3,-1,125,2
499974,1,31,2,-1,108,6
500003,1,20,3,-1,-1,-1
500014,1,27,3,-1,125,1
500037,1,16,4,-1,-1,-1
500042,1,48,3,-1,125,2
500047,3,-1,3,-1,-1,-1
500050,1,35,3,-1,125,6
500061,1,31,3,-1,125,1
500070,1,27,3,-1,-1,-1
500089,1,46,3,-1,125,4
500094,1,27,3,-1,125,3
500108,1,-1,3,-1,-1,-1
500110,1,38,5,-1,-1,-1
500115,1,61,5,-1,798,3
500123,1,50,3,-1,125,2
500149,1,23,3,-1,125,4
500164,1,24,3,-1,125,2
500173,1,33,3,-1,125,3
500187,1,43,3,-1,125,14
500192,2,43,3,-1,125,3
500205,1,18,3,-1,125,10
500216,1,58,3,-1,125,12
500222,1,31,3,-1,124,7
500225,1,44,5,-1,998,13
500242,1,58,2,-1,-1,-1
500246,1,24,3,-1,124,2
500262,1,26,2,-1,-1,-1
500294,1,24,2,-1,125,0
500296,1,50,5,-1,599,7
500312,1,31,4,-1,125,9
500326,1,22,5,-1,600,17
500350,1,21,3,-1,124,7
500353,1,46,3,-1,125,10
500365,1,26,2,-1,108,2
500366,1,52,5,-1,1137,17
500370,1,15,5,-1,-1,-1
500372,1,47,5,-1,998,3
500377,1,30,3,-1,125,10
500379,1,40,5,-1,798,2
500404,1,44,5,-1,-1,-1
500411,1,43,4,-1,249,3
500425,1,32,3,-1,125,6
500435,1,36,3,-1,125,0
500438,1,52,5,-1,675,5
500439,1,40,2,-1,49,1
500444,1,28,3,-1,125,7
500449,1,17,3,-1,124,5
500457,1,23,3,-1,125,4
500458,1,35,5,-1,749,2
500461,1,54,3,-1,125,5
500466,1,21,3,-1,124,2
500491,1,40,5,-1,806,2
500521,1,42,5,-1,599,18
500539,1,68,5,-1,645,9
500544,1,53,4,-1,996,15
500546,1,37,3,-1,124,5
500596,1,46,4,-1,-1,-1
500598,1,24,4,-1,125,12
500603,1,41,3,-1,125,7
500605,1,27,3,-1,114,5
500610,1,46,3,-1,125,4
500620,1,-1,5,-1,998,2
500629,1,30,5,-1,599,13
500655,1,28,3,-1,125,2
500662,1,22,3,-1,125,3
500664,1,24,3,-1,125,5
500666,1,43,3,-1,125,9
500668,1,26,3,-1,125,1
500705,1,21,3,-1,125,4
500712,1,28,3,-1,125,8
500716,1,24,3,-1,125,2
500721,1,37,4,-1,125,1
500735,1,55,2,-1,108,3
500744,1,26,3,-1,124,12
500749,1,61,5,-1,599,7
500756,1,20,5,-1,645,13
500759,3,-1,2,-1,-1,-1
500764,1,25,3,-1,125,3
500776,1,18,3,-1,124,11
500781,1,28,3,-1,-1,-1
500789,1,43,3,-1,108,1
500799,1,19,3,-1,49,8
500819,1,19,3,-1,108,2
500821,1,33,5,-1,-1,-1
500867,1,20,3,-1,125,4
500868,1,24,2,-1,49,9
500869,1,33,3,-1,124,5
500878,1,24,3,-1,108,10
500885,1,42,5,-1,849,3
500890,1,19,3,-1,124,1
500894,1,38,4,-1,124,17
500901,2,47,4,-1,124,8
500902,1,53,5,-1,1063,15
500905,1,34,2,-1,124,5
500907,1,45,3,-1,125,2
500913,1,40,3,-1,125,2
500917,3,-1,2,-1,-1,-1
500920,1,24,3,-1,124,5
500933,1,29,5,-1,998,14
500935,1,22,3,-1,125,2
500941,1,45,5,-1,-1,-1
500954,1,46,4,-1,124,3
500960,1,23,3,-1,125,6
