,sex_of_driver,age_of_driver,vehicle_type,generic_make_model,engine_capacity_cc,age_of_vehicle
2570,1,36,3,-1,-1,-1
2571,1,41,4,-1,750,4
2586,1,29,3,-1,108,2
2619,1,29,3,-1,124,0
2621,1,17,3,-1,-1,-1
2624,1,42,4,-1,-1,-1
2632,1,56,5,-1,647,11
2638,1,26,3,-1,125,4
2641,2,43,4,-1,125,0
2664,1,29,4,-1,125,5
2665,1,47,3,-1,-1,-1
2695,1,23,3,-1,124,3
2699,1,31,3,-1,124,4
2702,1,61,3,-1,124,8
2706,1,40,3,-1,125,10
2717,1,33,3,-1,108,2
2720,1,34,2,-1,-1,-1
2721,1,46,3,-1,108,0
2723,1,34,5,-1,750,18
2739,1,20,3,-1,125,0
2751,1,17,4,-1,125,1
2755,1,27,3,-1,-1,-1
2760,1,27,3,-1,102,9
2767,1,29,3,-1,-1,-1
2775,1,41,4,-1,124,5
2779,1,44,5,-1,1237,4
2789,1,31,3,-1,125,0
2792,1,35,3,-1,125,3
2795,1,45,3,-1,124,0
2806,1,46,4,-1,1130,11
2810,2,26,3,-1,124,10
2812,1,48,5,-1,800,37
2818,1,36,3,-1,125,2
2824,1,22,5,-1,660,24
2825,1,21,4,-1,649,0
2829,1,37,3,-1,125,2
2831,1,23,3,-1,125,1
2841,1,20,3,-1,124,1
2842,3,-1,4,-1,-1,-1
2844,1,19,2,-1,-1,-1
2847,1,61,5,-1,900,18
2849,1,33,5,-1,-1,-1
2854,1,21,4,-1,-1,-1
2877,1,17,2,-1,125,6
2894,1,36,5,-1,1195,3
2895,1,20,3,-1,-1,-1
2904,1,54,4,-1,800,3
2906,1,22,3,-1,108,0
2921,1,32,3,-1,124,1
2935,1,37,4,-1,125,5
2961,1,27,4,-1,-1,-1
2966,1,35,4,-1,-1,-1
2975,1,-1,4,-1,125,0
2992,1,26,5,-1,-1,-1
3036,1,33,5,-1,599,15
3041,1,34,3,-1,-1,-1
3045,1,33,3,-1,-1,-1
3052,1,26,5,-1,-1,-1
3059,1,30,3,-1,124,6
3061,1,33,4,-1,125,0
3062,1,56,5,-1,-1,-1
3071,1,44,3,-1,125,0
3100,1,36,3,-1,125,0
3102,1,42,2,-1,124,12
3123,1,36,3,-1,125,1
3132,1,25,5,-1,599,16
3150,1,20,3,-1,-1,-1
3154,1,31,3,-1,124,6
3161,1,33,3,-1,124,9
3172,1,20,3,-1,124,1
3175,1,51,5,-1,745,1
3180,1,30,5,-1,-1,-1
3183,1,19,3,-1,125,5
3213,1,29,4,-1,-1,-1
3216,1,26,3,-1,125,1
3226,1,60,3,-1,108,0
3238,1,28,3,-1,125,0
3240,1,37,3,-1,124,10
3246,3,-1,2,-1,-1,-1
3265,1,27,2,-1,49,9
3266,1,49,5,-1,996,14
3277,1,49,5,-1,1099,21
3293,1,22,3,-1,125,3
3317,1,31,3,-1,124,10
3322,1,44,5,-1,849,8
3323,1,34,5,-1,1170,0
3327,1,43,3,-1,-1,-1
3331,1,48,5,-1,599,11
3334,1,27,5,-1,-1,-1
3338,1,32,3,-1,108,4
3353,2,50,3,-1,125,3
3362,1,22,2,-1,124,3
3387,1,20,4,-1,125,0
3390,1,32,4,-1,-1,-1
3393,1,27,3,-1,125,9
3418,1,42,3,-1,125,0
3437,1,44,4,-1,1237,3
3441,1,19,3,-1,124,4
3444,1,18,3,-1,124,5
3450,1,35,3,-1,108,2
3454,1,24,2,-1,124,5
3455,1,34,3,-1,108,1
3456,1,44,4,-1,-1,-1
3459,1,24,3,-1,96,7
3461,1,36,3,-1,-1,-1
3483,1,39,4,-1,-1,-1
3486,1,25,3,-1,-1,-1
3496,1,20,4,-1,296,0
3499,1,35,5,-1,999,1
3509,1,-1,4,-1,125,13
3519,1,35,3,-1,-1,-1
3531,1,26,2,-1,-1,-1
3537,1,26,3,-1,125,13
3542,1,21,3,-1,124,1
3550,1,48,5,-1,1170,7
3551,1,39,5,-1,1170,3
3553,1,24,3,-1,-1,-1
3555,1,22,3,-1,-1,-1
3564,1,40,4,-1,125,8
3565,1,18,3,-1,-1,-1
3581,1,39,5,-1,1299,13
3585,1,34,3,-1,125,1
3588,1,55,3,-1,125,5
3592,1,21,3,-1,124,7
3601,1,37,3,-1,125,0
3605,1,36,5,-1,748,10
3607,1,19,3,-1,125,0
3612,1,23,5,-1,652,4
3616,1,28,5,-1,600,11
3627,1,30,3,-1,-1,-1
3630,1,34,3,-1,689,1
3643,1,42,4,-1,125,2
3646,1,18,4,-1,125,1
3648,1,20,3,-1,125,8
3654,1,27,3,-1,-1,-1
3665,1,42,5,-1,649,2
3667,1,28,3,-1,124,9
3686,1,34,5,-1,998,12
3692,1,34,3,-1,125,1
3696,1,19,3,-1,124,0
3698,1,16,2,-1,-1,-1
3704,1,31,3,-1,125,2
3705,1,27,5,-1,-1,-1
3710,1,39,5,-1,998,7
3714,3,-1,3,-1,744,0
3715,1,51,3,-1,85,14
3717,1,37,3,-1,-1,-1
3719,1,44,4,-1,660,10
3721,1,19,3,-1,125,0
3724,1,60,5,-1,650,16
3737,1,55,5,-1,918,19
3740,1,49,4,-1,-1,-1
3743,1,23,5,-1,649,0
3754,3,-1,3,-1,-1,-1
3755,1,23,5,-1,998,8
3756,1,51,5,-1,499,16
3761,1,20,2,-1,108,1
3766,1,22,3,-1,-1,-1
3773,1,27,3,-1,124,8
3788,3,-1,3,-1,-1,-1
3814,1,22,3,-1,109,2
3816,1,29,3,-1,125,3
3818,1,39,5,-1,599,6
3822,1,29,5,-1,647,6
3830,1,27,5,-1,125,0
3843,1,32,5,-1,897,11
3849,3,-1,3,-1,-1,-1
3859,1,22,3,-1,125,8
3878,1,21,3,-1,124,0
3879,2,40,3,-1,125,1
3885,1,35,3,-1,124,7
3890,1,60,4,-1,249,18
3895,1,30,3,-1,-1,-1
3902,2,27,4,-1,124,6
3907,1,51,3,-1,125,8
3910,1,45,2,-1,124,0
3915,1,39,5,-1,1255,4
3936,1,29,4,-1,125,2
3937,1,58,5,-1,1352,5
3941,1,26,3,-1,109,3
3951,1,30,3,-1,124,7
3954,1,16,2,-1,-1,-1
3966,1,30,5,-1,-1,-1
3972,1,18,3,-1,109,0
3974,1,22,5,-1,645,7
3989,1,28,5,-1,599,25
3992,1,21,2,-1,108,2
3995,1,47,2,-1,278,0
3997,2,31,3,-1,125,4
4000,1,21,4,-1,108,1
4006,1,21,3,-1,-1,-1
4012,3,-1,4,-1,125,1
4014,1,23,3,-1,109,2
4015,1,60,3,-1,125,1
4018,1,32,4,-1,-1,-1
4023,1,17,3,-1,125,5
4028,1,23,4,-1,471,3
4042,3,-1,3,-1,-1,-1
4049,1,22,3,-1,124,7
4058,1,34,3,-1,108,0
4062,1,25,5,-1,649,1
4080,1,35,3,-1,125,2
4081,1,40,3,-1,124,8
4087,1,34,2,-1,49,8
4092,1,35,2,-1,125,4
4105,1,20,3,-1,125,8
4110,1,49,5,-1,1000,6
4114,1,41,3,-1,124,4
4119,1,30,5,-1,-1,-1
4136,1,24,3,-1,108,1
4140,1,-1,3,-1,124,1
4145,1,32,3,-1,108,1
4150,1,61,5,-1,644,8
4152,1,35,5,-1,1063,13
4155,1,25,3,-1,125,7
4159,1,21,4,-1,125,7
4162,2,56,2,-1,50,0
4167,1,23,2,-1,125,8
4177,1,35,2,-1,124,0
4180,1,46,3,-1,124,6
4185,1,31,3,-1,125,4
4203,1,54,2,-1,125,5
4208,1,30,2,-1,108,2
4210,1,24,4,-1,-1,-1
4211,1,36,2,-1,108,1
4220,1,40,3,-1,-1,-1
4229,1,38,3,-1,1261,6
4243,2,28,3,-1,125,4
4258,1,23,3,-1,125,6
4260,1,25,3,-1,-1,-1
4276,1,52,4,-1,124,1
4280,3,-1,3,-1,-1,-1
4292,1,25,2,-1,108,1
4296,1,18,4,-1,124,12
4309,1,60,5,-1,-1,-1
4313,2,34,3,-1,124,7
4318,1,27,3,-1,-1,-1
4343,1,25,5,-1,599,4
4349,1,37,4,-1,-1,-1
4354,1,16,2,-1,-1,-1
4366,1,22,3,-1,124,3
4371,1,41,5,-1,1000,6
4376,1,24,5,-1,599,17
4377,1,20,3,-1,125,5
4383,1,33,5,-1,599,8
4394,1,26,4,-1,125,0
4400,1,24,3,-1,124,1
4401,1,28,5,-1,1299,11
4404,1,26,3,-1,-1,-1
4420,1,18,3,-1,108,0
4431,1,42,4,-1,125,1
4432,1,55,4,-1,1037,1
4438,1,25,2,-1,670,3
4442,1,30,3,-1,124,8
4443,1,26,3,-1,108,4
4451,2,47,4,-1,125,2
4452,1,48,3,-1,125,9
4471,1,21,3,-1,125,4
4484,1,38,4,-1,125,0
4487,1,23,3,-1,125,7
4495,1,36,3,-1,125,0
4499,2,24,3,-1,-1,-1
4511,2,37,3,-1,-1,-1
4514,2,23,3,-1,124,2
4520,1,22,2,-1,125,0
4522,1,21,4,-1,125,1
4524,1,30,3,-1,125,1
4535,1,32,4,-1,781,18
4537,1,19,4,-1,124,5
4543,1,49,3,-1,125,1
4555,1,22,3,-1,124,7
4557,1,17,3,-1,108,1
4559,1,26,3,-1,125,7
4566,1,28,3,-1,125,2
4596,1,27,3,-1,124,6
4613,1,23,3,-1,108,1
4623,1,36,5,-1,-1,-1
4628,1,27,3,-1,125,3
4631,2,23,3,-1,-1,-1
4637,1,24,3,-1,125,0
4643,1,17,3,-1,-1,-1
4650,1,29,3,-1,124,2
4664,1,36,3,-1,125,0
4668,1,39,5,-1,1084,17
4679,1,29,2,-1,-1,-1
4699,1,35,4,-1,599,12
4712,1,25,2,-1,109,2
4724,2,34,3,-1,125,7
4728,1,16,2,-1,49,8
4748,1,25,4,-1,125,4
4750,1,18,3,-1,125,1
4758,1,18,3,-1,-1,-1
4760,1,32,5,-1,645,12
4762,1,37,5,-1,645,10
4768,1,46,4,-1,279,6
4770,1,53,4,-1,1195,2
4776,1,55,4,-1,244,7
4792,1,27,3,-1,125,4
4801,1,22,4,-1,124,8
4825,1,33,4,-1,296,2
4836,1,44,3,-1,125,3
4839,1,31,5,-1,1170,9
4843,1,40,5,-1,599,9
4850,1,30,3,-1,125,0
4854,1,28,3,-1,124,7
4857,1,54,5,-1,-1,-1
4864,1,23,3,-1,-1,-1
4876,1,17,3,-1,125,1
4881,1,22,3,-1,124,2
4888,1,49,4,-1,-1,-1
4890,1,39,5,-1,-1,-1
4894,1,27,4,-1,124,3
4896,1,31,3,-1,125,1
4899,1,18,5,-1,689,2
4903,1,29,3,-1,124,8
4905,1,31,5,-1,1247,2
4915,2,30,4,-1,-1,-1
4930,1,32,3,-1,125,0
4931,1,18,3,-1,125,13
4936,1,30,3,-1,125,4
4938,1,22,3,-1,-1,-1
4944,1,18,3,-1,125,0
4946,2,47,3,-1,124,18
4951,1,41,5,-1,955,14
4961,1,23,3,-1,-1,-1
4968,1,26,2,-1,124,1
4969,1,18,3,-1,108,6
4981,1,43,2,-1,49,1
4984,1,35,3,-1,108,3
4990,1,42,3,-1,-1,-1
4995,1,59,5,-1,1207,49
4999,1,49,5,-1,1137,19
5001,1,36,4,-1,499,12
5007,1,48,3,-1,124,7
5013,1,54,4,-1,675,8
5021,1,32,4,-1,-1,-1
5029,1,22,4,-1,125,4
5032,1,30,5,-1,1170,6
5036,1,24,3,-1,125,13
5042,1,18,3,-1,109,3
5044,1,29,5,-1,625,9
5049,1,31,3,-1,125,2
5060,1,43,5,-1,988,14
5067,1,19,3,-1,125,11
5076,1,22,3,-1,125,5
5089,1,30,3,-1,125,7
5092,1,35,5,-1,599,16
5093,1,17,3,-1,124,1
5095,1,26,3,-1,124,4
5104,1,23,4,-1,-1,-1
5107,1,40,3,-1,124,4
5111,1,17,3,-1,124,6
5112,1,38,3,-1,124,0
5113,1,28,4,-1,248,0
5128,1,47,5,-1,918,17
5132,1,63,2,-1,-1,-1
5136,1,46,3,-1,124,11
5149,1,21,3,-1,125,8
5155,1,63,4,-1,-1,-1
5161,1,19,3,-1,124,5
5172,1,18,3,-1,125,0
5174,1,32,5,-1,1237,4
5177,1,31,3,-1,-1,-1
5179,1,31,3,-1,125,2
5182,1,36,5,-1,649,23
5196,2,28,5,-1,748,7
5202,1,22,3,-1,-1,-1
5203,3,-1,3,-1,-1,-1
5204,1,31,5,-1,1301,0
5214,1,30,4,-1,-1,-1
5223,1,23,4,-1,-1,-1
5231,1,23,3,-1,125,8
5233,1,23,3,-1,125,4
5241,1,34,3,-1,108,2
5246,1,26,5,-1,599,14
5262,1,35,3,-1,108,3
5266,1,32,3,-1,-1,-1
5277,1,40,3,-1,125,1
5292,1,26,4,-1,296,2
5294,1,21,3,-1,125,8
5303,1,29,5,-1,645,12
5322,1,36,5,-1,-1,-1
5325,1,29,3,-1,108,0
5331,1,26,4,-1,805,11
5335,1,47,5,-1,649,1
5337,3,-1,3,-1,-1,-1
5376,1,35,4,-1,125,2
5379,1,46,5,-1,-1,-1
5384,1,50,4,-1,-1,-1
5390,1,26,3,-1,124,1
5395,1,38,3,-1,125,0
5399,1,31,3,-1,125,6
5405,1,20,4,-1,125,0
5411,1,43,3,-1,123,0
5416,3,-1,3,-1,-1,-1
5435,1,19,3,-1,124,19
5440,3,-1,2,-1,-1,-1
5462,1,38,3,-1,125,2
5467,1,41,5,-1,599,7
5484,1,26,2,-1,108,1
5500,1,37,5,-1,-1,-1
5513,1,21,3,-1,124,0
5516,1,17,3,-1,125,7
5524,1,26,3,-1,124,0
5525,1,27,5,-1,-1,-1
5531,1,31,3,-1,125,1
5533,1,31,5,-1,599,13
5535,1,23,2,-1,108,3
5536,1,25,3,-1,108,3
5538,1,20,3,-1,125,6
5545,2,38,3,-1,125,3
5547,1,35,5,-1,689,0
5554,2,31,3,-1,125,0
5561,1,34,5,-1,689,1
5563,1,38,4,-1,249,0
5566,1,34,4,-1,125,0
